teamID,yearID,total_payroll,winning_pct,franchID,W,G
MIN,2000,16519500,42.59259259,MIN,69,162
NYA,2000,92338260,54.03726708,NYY,87,161
OAK,2000,31971333,56.52173913,OAK,91,161
SEA,2000,58915000,56.17283951,SEA,91,162
TBA,2000,62765129,42.85714286,TBD,69,161
TEX,2000,70795921,43.82716049,TEX,71,162
TOR,2000,44838332,51.2345679,TOR,83,162
ARI,2000,81027833,52.4691358,ARI,85,162
ATL,2000,84537836,58.64197531,ATL,95,162
CHN,2000,60539333,40.12345679,CHC,65,162
CIN,2000,46867200,52.14723926,CIN,85,163
COL,2000,61111190,50.61728395,COL,82,162
FLO,2000,19872000,49.06832298,FLA,79,161
HOU,2000,51289111,44.44444444,HOU,72,162
LAN,2000,87924286,53.08641975,LAD,86,162
MIL,2000,36505333,44.78527607,MIL,73,163
MON,2000,32994333,41.35802469,WSN,67,162
NYN,2000,79509776,58.02469136,NYM,94,162
PHI,2000,47308000,40.12345679,PHI,65,162
PIT,2000,28928334,42.59259259,PIT,69,162
SDN,2000,54821000,46.91358025,SDP,76,162
SFN,2000,53737826,59.87654321,SFG,97,162
SLN,2000,61453863,58.64197531,STL,95,162
ANA,2001,47535167,46.2962963,ANA,75,162
BAL,2001,67599540,38.88888889,BAL,63,162
BOS,2001,110035833,50.93167702,BOS,82,161
CHA,2001,65653667,51.2345679,CHW,83,162
CLE,2001,93152001,56.17283951,CLE,91,162
DET,2001,53416167,40.74074074,DET,66,162
KCA,2001,35422500,40.12345679,KCR,65,162
MIN,2001,24130000,52.4691358,MIN,85,162
NYA,2001,112287143,59.00621118,NYY,95,161
OAK,2001,33810750,62.96296296,OAK,102,162
SEA,2001,74720834,71.60493827,SEA,116,162
TBA,2001,56980000,38.27160494,TBD,62,162
TEX,2001,88633500,45.0617284,TEX,73,162
TOR,2001,76895999,49.38271605,TOR,80,162
ARI,2001,85082999,56.79012346,ARI,92,162
ATL,2001,91936166,54.32098765,ATL,88,162
CHN,2001,64715833,54.32098765,CHC,88,162
CIN,2001,48986000,40.74074074,CIN,66,162
COL,2001,71541334,45.0617284,COL,73,162
FLO,2001,35762500,46.91358025,FLA,76,162
HOU,2001,60612667,57.40740741,HOU,93,162
LAN,2001,109105953,53.08641975,LAD,86,162
MIL,2001,43886833,41.97530864,MIL,68,162
MON,2001,35159500,41.97530864,WSN,68,162
NYN,2001,93174428,50.61728395,NYM,82,162
PHI,2001,41663833,53.08641975,PHI,86,162
PIT,2001,57760833,38.27160494,PIT,62,162
SDN,2001,39182833,48.7654321,SDP,79,162
SFN,2001,63280167,55.55555556,SFG,90,162
SLN,2001,78538333,57.40740741,STL,93,162
ANA,2002,61721667,61.11111111,ANA,99,162
BAL,2002,60493487,41.35802469,BAL,67,162
BOS,2002,108366060,57.40740741,BOS,93,162
CHA,2002,57052833,50,CHW,81,162
CLE,2002,78909449,45.67901235,CLE,74,162
DET,2002,55048000,34.16149068,DET,55,161
KCA,2002,47257000,38.27160494,KCR,62,162
MIN,2002,40425000,58.38509317,MIN,94,161
NYA,2002,125928583,63.97515528,NYY,103,161
OAK,2002,40004167,63.58024691,OAK,103,162
SEA,2002,80282668,57.40740741,SEA,93,162
TBA,2002,34380000,34.16149068,TBD,55,161
TEX,2002,105526122,44.44444444,TEX,72,162
TOR,2002,76864333,48.14814815,TOR,78,162
ARI,2002,102819999,60.49382716,ARI,98,162
ATL,2002,92870367,62.73291925,ATL,101,161
CHN,2002,75690833,41.35802469,CHC,67,162
CIN,2002,45050390,48.14814815,CIN,78,162
COL,2002,56851043,45.0617284,COL,73,162
FLO,2002,41979917,48.7654321,FLA,79,162
HOU,2002,63448417,51.85185185,HOU,84,162
LAN,2002,94850953,56.79012346,LAD,92,162
MIL,2002,50287833,34.56790123,MIL,56,162
MON,2002,38670500,51.2345679,WSN,83,162
NYN,2002,94633593,46.58385093,NYM,75,161
PHI,2002,57954999,49.68944099,PHI,80,161
PIT,2002,42323599,44.72049689,PIT,72,161
SDN,2002,41425000,40.74074074,SDP,66,162
SFN,2002,78299835,58.64197531,SFG,95,162
SLN,2002,74660875,59.87654321,STL,97,162
ANA,2003,79031667,47.5308642,ANA,77,162
BAL,2003,73877500,43.55828221,BAL,71,163
BOS,2003,99946500,58.64197531,BOS,95,162
CHA,2003,51010000,53.08641975,CHW,86,162
CLE,2003,48584834,41.97530864,CLE,68,162
DET,2003,49168000,26.54320988,DET,43,162
KCA,2003,40518000,51.2345679,KCR,83,162
MIN,2003,55505000,55.55555556,MIN,90,162
NYA,2003,152749814,61.96319018,NYY,101,163
OAK,2003,50260834,59.25925926,OAK,96,162
SEA,2003,86959167,57.40740741,SEA,93,162
TBA,2003,19630000,38.88888889,TBD,63,162
TEX,2003,103491667,43.82716049,TEX,71,162
TOR,2003,51269000,53.08641975,TOR,86,162
ARI,2003,80657000,51.85185185,ARI,84,162
ATL,2003,106243667,62.34567901,ATL,101,162
CHN,2003,79868333,54.32098765,CHC,88,162
CIN,2003,59355667,42.59259259,CIN,69,162
COL,2003,67179667,45.67901235,COL,74,162
FLO,2003,49450000,56.17283951,FLA,91,162
